iter	Passed	Remaining
0	135	134982
1	136	68043
2	137	45766
3	139	34618
4	140	27931
5	141	23450
6	142	20252
7	144	17859
8	145	15989
9	146	14498
10	147	13284
11	148	12265
12	150	11406
13	151	10664
14	152	10025
15	153	9462
16	155	8967
17	156	8527
18	157	8134
19	158	7780
20	160	7462
21	161	7174
22	162	6909
23	163	6664
24	165	6440
25	166	6234
26	167	6043
27	168	5865
28	170	5697
29	171	5541
30	172	5396
31	173	5259
32	175	5132
33	176	5010
34	177	4896
35	178	4782
36	179	4677
37	180	4576
38	181	4481
39	183	4392
40	184	4307
41	185	4226
42	186	4146
43	187	4069
44	188	3996
45	189	3926
46	190	3860
47	191	3800
48	192	3741
49	193	3684
50	195	3629
51	196	3576
52	197	3525
53	198	3476
54	199	3430
55	200	3384
56	201	3340
57	203	3299
58	204	3256
59	205	3216
60	206	3178
61	207	3140
62	208	3103
63	209	3067
64	210	3033
65	212	3000
66	213	2967
67	213	2929
68	214	2899
69	216	2870
70	217	2842
71	218	2814
72	219	2786
73	220	2758
74	221	2733
75	222	2707
76	223	2682
77	224	2658
78	226	2635
79	227	2613
80	228	2590
81	229	2568
82	230	2547
83	231	2526
84	232	2502
85	233	2482
86	234	2459
87	235	2440
88	236	2421
89	237	2403
90	238	2385
91	239	2367
92	240	2350
93	242	2333
94	243	2316
95	244	2300
96	245	2284
97	246	2269
98	247	2254
99	248	2239
100	250	2225
101	250	2206
102	251	2191
103	252	2177
104	253	2164
105	254	2150
106	256	2136
107	257	2124
108	258	2111
109	259	2098
110	260	2086
111	261	2073
112	262	2062
113	263	2050
114	264	2038
115	265	2025
116	266	2014
117	268	2003
118	268	1990
119	270	1980
120	271	1970
121	272	1960
122	272	1946
123	274	1935
124	275	1925
125	276	1915
126	277	1906
127	278	1894
128	279	1885
129	280	1876
130	281	1866
131	282	1857
132	283	1849
133	284	1840
134	285	1832
135	287	1823
136	288	1815
137	289	1805
138	290	1797
139	291	1789
140	292	1781
141	293	1773
142	294	1765
143	295	1757
144	296	1750
145	297	1742
146	299	1735
147	300	1728
148	301	1721
149	302	1714
150	303	1707
151	304	1699
152	305	1692
153	306	1685
154	307	1678
155	309	1672
156	310	1665
157	311	1658
158	312	1652
159	313	1646
160	314	1640
161	315	1634
162	317	1628
163	318	1623
164	319	1617
165	320	1611
166	321	1605
167	322	1599
168	324	1593
169	325	1587
170	326	1582
171	327	1576
172	328	1571
173	329	1565
174	330	1559
175	331	1554
176	333	1549
177	334	1543
178	335	1538
179	336	1532
180	337	1525
181	338	1520
182	339	1515
183	340	1510
184	341	1504
185	342	1499
186	343	1494
187	344	1489
188	345	1484
189	347	1479
190	348	1474
191	349	1469
192	350	1464
193	351	1460
194	352	1455
195	353	1451
196	354	1446
197	355	1441
198	357	1437
199	358	1432
200	359	1428
201	360	1423
202	361	1419
203	362	1414
204	363	1410
205	364	1405
206	365	1401
207	366	1397
208	368	1392
209	369	1388
210	370	1384
211	371	1380
212	372	1376
213	373	1372
214	374	1367
215	375	1363
216	376	1359
217	377	1355
218	378	1351
219	380	1347
220	381	1343
221	382	1339
222	383	1335
223	384	1332
224	385	1328
225	386	1324
226	387	1320
227	388	1317
228	390	1313
229	391	1309
230	392	1305
231	393	1302
232	394	1298
233	395	1295
234	397	1292
235	398	1288
236	399	1285
237	400	1281
238	401	1278
239	402	1274
240	403	1271
241	404	1268
242	406	1264
243	407	1261
244	408	1258
245	409	1254
246	410	1251
247	411	1247
248	412	1244
249	413	1241
250	414	1237
251	415	1234
252	416	1230
253	418	1227
254	419	1224
255	420	1221
256	421	1218
257	422	1214
258	423	1211
259	424	1208
260	425	1205
261	426	1201
262	427	1198
263	428	1195
264	429	1192
265	431	1189
266	432	1186
267	433	1183
268	434	1180
269	435	1177
270	436	1174
271	437	1171
272	438	1168
273	440	1166
274	441	1164
275	442	1161
276	443	1158
277	445	1155
278	446	1152
279	447	1149
280	448	1146
281	449	1144
282	450	1141
283	451	1137
284	452	1135
285	453	1132
286	454	1129
287	455	1126
288	456	1123
289	457	1120
290	458	1117
291	459	1114
292	460	1112
293	462	1109
294	463	1107
295	464	1104
296	465	1102
297	466	1099
298	467	1097
299	468	1094
300	469	1091
301	470	1088
302	472	1085
303	473	1083
304	474	1080
305	475	1078
306	476	1075
307	477	1073
308	478	1070
309	479	1067
310	481	1065
311	482	1063
312	483	1060
313	484	1058
314	485	1055
315	486	1053
316	487	1050
317	488	1048
318	489	1045
319	490	1043
320	492	1040
321	493	1038
322	494	1035
323	495	1033
324	496	1030
325	497	1028
326	498	1026
327	499	1023
328	500	1021
329	501	1019
330	503	1016
331	504	1014
332	505	1012
333	506	1009
334	507	1007
335	508	1005
336	509	1002
337	510	1000
338	512	998
339	513	996
340	514	993
341	515	991
342	516	989
343	517	986
344	518	984
345	519	982
346	520	980
347	522	978
348	523	975
349	524	973
350	525	971
351	526	968
352	527	966
353	528	964
354	529	962
355	530	960
356	531	958
357	533	955
358	534	953
359	535	951
360	536	949
361	537	947
362	538	945
363	539	943
364	540	940
365	541	938
366	543	936
367	544	934
368	545	932
369	546	930
370	547	928
371	548	926
372	549	924
373	550	921
374	551	919
375	553	917
376	554	915
377	555	913
378	556	911
379	557	909
380	558	907
381	559	905
382	560	903
383	561	901
384	562	899
385	564	897
386	565	895
387	566	893
388	567	891
389	568	889
390	569	887
391	570	885
392	571	883
393	573	881
394	574	879
395	575	877
396	576	875
397	577	873
398	578	871
399	579	869
400	580	867
401	581	865
402	583	863
403	584	861
404	585	860
405	586	858
406	587	856
407	588	854
408	589	852
409	590	850
410	591	848
411	593	846
412	594	844
413	595	842
414	596	840
415	597	838
416	598	837
417	599	835
418	600	833
419	602	831
420	603	829
421	604	827
422	605	825
423	606	823
424	607	821
425	608	820
426	609	818
427	610	816
428	611	814
429	612	812
430	614	810
431	615	808
432	616	807
433	617	805
434	618	803
435	619	801
436	620	799
437	621	797
438	622	796
439	623	794
440	625	792
441	626	790
442	627	788
443	628	786
444	629	784
445	630	783
446	631	781
447	632	779
448	633	777
449	634	775
450	636	774
451	637	772
452	638	770
453	639	769
454	640	767
455	641	765
456	642	763
457	644	762
458	645	760
459	646	758
460	647	756
461	648	755
462	649	753
463	650	751
464	651	749
465	652	748
466	654	746
467	655	744
468	656	743
469	657	741
470	658	739
471	659	737
472	660	736
473	661	734
474	662	732
475	664	730
476	665	729
477	666	727
478	667	725
479	668	724
480	669	722
481	670	720
482	671	719
483	673	717
484	674	716
485	675	714
486	676	712
487	677	711
488	678	709
489	679	707
490	681	705
491	682	704
492	683	702
493	684	701
494	685	699
495	686	697
496	687	696
497	688	694
498	689	692
499	691	691
500	692	689
501	693	687
502	694	686
503	695	684
504	696	682
505	697	681
506	698	679
507	699	677
508	701	676
509	702	674
510	703	672
511	704	671
512	705	669
513	706	668
514	707	666
515	708	664
516	710	663
517	711	661
518	712	660
519	713	658
520	714	656
521	715	655
522	716	653
523	717	652
524	719	650
525	720	648
526	721	647
527	722	645
528	723	644
529	724	642
530	725	641
531	726	639
532	727	637
533	729	636
534	730	634
535	731	633
536	732	631
537	733	630
538	734	628
539	735	626
540	736	625
541	738	623
542	739	622
543	740	620
544	741	618
545	742	617
546	743	615
547	744	614
548	745	612
549	746	610
550	747	609
551	748	607
552	749	606
553	751	604
554	752	603
555	753	601
556	757	602
557	758	600
558	759	599
559	760	597
560	761	596
561	762	594
562	763	592
563	765	591
564	766	589
565	767	588
566	768	586
567	769	585
568	770	583
569	771	582
570	772	580
571	773	579
572	775	577
573	776	575
574	777	574
575	778	572
576	779	571
577	780	569
578	781	568
579	782	566
580	783	565
581	784	563
582	786	562
583	787	560
584	788	559
585	789	557
586	790	556
587	791	554
588	792	553
589	793	551
590	795	550
591	796	548
592	797	547
593	798	545
594	799	544
595	800	542
596	801	541
597	802	539
598	803	538
599	805	536
600	806	535
601	807	533
602	808	532
603	809	530
604	810	529
605	811	527
606	812	526
607	814	524
608	815	523
609	816	521
610	817	520
611	818	518
612	819	517
613	820	515
614	821	514
615	822	512
616	823	511
617	824	509
618	826	508
619	827	506
620	828	505
621	829	504
622	830	502
623	831	501
624	832	499
625	833	498
626	834	496
627	835	495
628	836	493
629	837	492
630	839	490
631	840	489
632	841	487
633	842	486
634	843	484
635	844	483
636	845	481
637	846	480
638	848	479
639	849	477
640	850	476
641	851	474
642	852	473
643	853	471
644	854	470
645	855	469
646	857	467
647	858	466
648	859	464
649	860	463
650	861	461
651	862	460
652	863	459
653	864	457
654	866	456
655	867	454
656	868	453
657	869	452
658	870	450
659	871	449
660	872	447
661	874	446
662	875	444
663	876	443
664	877	441
665	878	440
666	879	439
667	880	437
668	881	436
669	883	434
670	884	433
671	885	432
672	886	430
673	887	429
674	888	427
675	889	426
676	890	425
677	891	423
678	893	422
679	894	420
680	895	419
681	896	417
682	897	416
683	898	415
684	899	413
685	900	412
686	901	410
687	902	409
688	903	407
689	904	406
690	906	405
691	907	403
692	908	402
693	909	400
694	910	399
695	911	398
696	912	396
697	913	395
698	914	393
699	916	392
700	917	391
701	918	389
702	919	388
703	920	387
704	921	385
705	922	384
706	923	382
707	924	381
708	925	379
709	926	378
710	927	377
711	929	375
712	930	374
713	931	373
714	932	371
715	933	370
716	934	368
717	935	367
718	936	366
719	938	364
720	939	363
721	940	362
722	941	360
723	942	359
724	943	357
725	944	356
726	945	355
727	946	353
728	948	352
729	949	351
730	950	349
731	951	348
732	952	346
733	953	345
734	954	344
735	955	342
736	956	341
